"Latin","gx","gy"
"Fagus sylvatica",4390841.44,5661432.75
"Fagus sylvatica",4390842.34,5661433.04
"Fagus sylvatica",4390845.01,5661441.43
"Fagus sylvatica",4390845.68,5661441.15
"Fagus sylvatica",4390848.56,5661445.24
"Fagus sylvatica",4390850.09,5661446.03
"Fagus sylvatica",4390851.45,5661448
"Fraxinus excelsior",4390853.99,5661447.1
"Fagus sylvatica",4390856.07,5661449
"Fagus sylvatica",4390854.65,5661445.68
"Fagus sylvatica",4390854.52,5661445.44
"Fagus sylvatica",4390854.68,5661441.21
"Fagus sylvatica",4390851.6,5661438.9
"Fagus sylvatica",4390844.87,5661432.11
"Fagus sylvatica",4390857.81,5661431.33
"Fagus sylvatica",4390861.79,5661431.06
"Fagus sylvatica",4390861.6,5661435.52
"Fagus sylvatica",4390861,5661437.48
"Fagus sylvatica",4390863.52,5661438.61
"Fagus sylvatica",4390865.76,5661441.05
"Fagus sylvatica",4390865.6,5661441.95
"Fagus sylvatica",4390871.11,5661440.69
"Fagus sylvatica",4390871.74,5661438.64
"Fagus sylvatica",4390866.89,5661435.37
"Fagus sylvatica",4390872.46,5661435.17
"Acer campestre",4390870.58,5661427.38
"Fraxinus excelsior",4390892.52,5661450
"Fagus sylvatica",4390875.52,5661428.57
"Fagus sylvatica",4390876.78,5661427.02
"Fagus sylvatica",4390877.35,5661434.67
"Fagus sylvatica",4390874.7,5661437.82
"Fagus sylvatica",4390878.63,5661444.91
"Fagus sylvatica",4390881.85,5661446.9
"Fagus sylvatica",4390882.78,5661444.1
"Fagus sylvatica",4390883.02,5661443.51
"Fagus sylvatica",4390886.84,5661445.67
"Fagus sylvatica",4390888.68,5661444.11
"Fagus sylvatica",4390887.93,5661443.53
"Fagus sylvatica",4390882.2,5661435.59
"Fagus sylvatica",4390881.93,5661433.26
"Fagus sylvatica",4390890.44,5661437.36
"Fagus sylvatica",4390892.37,5661432.54
"Fagus sylvatica",4390891.69,5661432.02
"Fagus sylvatica",4390891.69,5661431.76
"Fagus sylvatica",4390888.88,5661425.02
"Fagus sylvatica",4390893.95,5661424.41
"Fagus sylvatica",4390894.18,5661425.4
"Fagus sylvatica",4390898.8,5661432.45
"Fagus sylvatica",4390896.52,5661433.77
"Fagus sylvatica",4390892.1,5661445.4
"Fagus sylvatica",4390893.02,5661445.54
"Fagus sylvatica",4390899.53,5661448.53
"Acer pseudoplatanus",4390895.76,5661452.56
"Fagus sylvatica",4390898.26,5661466.84
"Fagus sylvatica",4390899.96,5661475.2
"Fagus sylvatica",4390891.85,5661474.32
"Fagus sylvatica",4390894.56,5661480.65
"Acer pseudoplatanus",4390897.7,5661480.1
"Fagus sylvatica",4390899.51,5661487.2
"Fagus sylvatica",4390898.45,5661489.63
"Fagus sylvatica",4390892.87,5661501.56
"Fagus sylvatica",4390889.93,5661502.27
"Acer pseudoplatanus",4390894.57,5661493.15
"Fagus sylvatica",4390890.53,5661493.71
"Fagus sylvatica",4390891.54,5661485.17
"Fraxinus excelsior",4390890.18,5661485.82
"Fagus sylvatica",4390884.24,5661469.39
"Ulmus glabra",4390888.6,5661454.22
"Fagus sylvatica",4390879.6,5661452.25
"Fagus sylvatica",4390873.91,5661457.81
"Fagus sylvatica",4390879.66,5661474.36
"Fagus sylvatica",4390884.06,5661496.38
"Fagus sylvatica",4390885.27,5661496.46
"Fagus sylvatica",4390881.73,5661499.65
"Fagus sylvatica",4390879.42,5661500.9
"Fagus sylvatica",4390880.23,5661497.05
"Acer pseudoplatanus",4390872.92,5661488.39
"Fagus sylvatica",4390873.66,5661485.82
"Fagus sylvatica",4390873.09,5661478.51
"Fagus sylvatica",4390872,5661474.78
"Fraxinus excelsior",4390867.79,5661469.01
"Fagus sylvatica",4390867.29,5661467.11
"Fagus sylvatica",4390870.28,5661462.57
"Fagus sylvatica",4390868.3,5661461.3
"Fagus sylvatica",4390867.83,5661459.24
"Fagus sylvatica",4390864.58,5661459.87
"Fagus sylvatica",4390867.16,5661455.51
"Fagus sylvatica",4390866.61,5661455.33
"Fagus sylvatica",4390863.12,5661456.89
"Fagus sylvatica",4390859.75,5661456.6
"Fagus sylvatica",4390859.89,5661457.84
"Fagus sylvatica",4390855.34,5661456.57
"Fagus sylvatica",4390857.28,5661465.4
