"Latin","gx","gy"
"Acer negundo",7.2,6
"Acer negundo",3.5,73.5
"Acer negundo",1.1,95.9
"Acer negundo",2,96.8
"Acer negundo",2,95.1
"Acer negundo",7.1,108.8
"Acer negundo",0.7,114.6
"Acer negundo",30,89.3
"Acer negundo",27.1,97.5
"Acer negundo",22.8,96
"Acer negundo",23.7,103.5
"Acer negundo",63,24.5
"Acer negundo",66.5,65.8
"Acer negundo",144,29.2
"Acer negundo",207.6,38.2
"Acer negundo",228,16
"Acer negundo",225.2,50
"Acer negundo",239.5,47.9
"Acer negundo",235.9,61
"Acer negundo",243.1,58.1
"Acer negundo",270.8,370.1
"Acer negundo",300.2,405.4
"Acer negundo",326.3,389.1
"Acer negundo",339.1,416.3
"Acer platanoides",57.6,294.8
"Acer platanoides",176.3,638
"Acer platanoides",184.3,76
"Acer platanoides",257.9,147.8
"Acer platanoides",286.4,200.5
"Acer platanoides",318.4,215.7
"Acer platanoides",307.3,210
"Acer platanoides",310.2,398.1
"Acer platanoides",355,323.2
"Acer platanoides",394.1,266.4
"Acer rubrum",4.8,50.1
"Acer rubrum",6.2,49.5
"Acer rubrum",8.1,53.6
"Acer rubrum",11.5,42.6
"Acer rubrum",12.9,58
"Acer rubrum",4.8,61.2
"Acer rubrum",10.9,62.7
"Acer rubrum",11.8,64.5
"Acer rubrum",12.3,64.5
"Acer rubrum",17.5,139.9
"Acer rubrum",10.6,153.8
"Acer rubrum",18.8,172.2
"Acer rubrum",3.2,185.2
"Acer rubrum",3.1,243.4
"Acer rubrum",11.2,246.1
"Acer rubrum",18.3,259.7
"Acer rubrum",3.6,341.6
"Acer rubrum",0.2,419
"Acer rubrum",4.7,426.9
"Acer rubrum",19.2,457.6
"Acer rubrum",2.7,465.3
"Acer rubrum",1.1,477.7
"Acer rubrum",14.3,509.4
"Acer rubrum",12.5,505.1
"Acer rubrum",12.6,517.2
"Acer rubrum",12.3,518.2
"Acer rubrum",4.4,517.3
"Acer rubrum",19.9,572.6
"Acer rubrum",10.6,588.8
"Acer rubrum",28.5,45.8
"Acer rubrum",21.4,56.1
"Acer rubrum",37.2,165.6
"Acer rubrum",27.2,178.1
"Acer rubrum",31,208.1
"Acer rubrum",20.2,305.9
"Acer rubrum",33.3,355.1
"Acer rubrum",36.7,372.5
"Acer rubrum",37,392.1
"Acer rubrum",26.4,440
"Acer rubrum",22.6,447
"Acer rubrum",29.1,455.7
"Acer rubrum",25,460.4
"Acer rubrum",38.5,467.7
"Acer rubrum",28.5,489.9
"Acer rubrum",40,513.3
"Acer rubrum",32.7,517.8
"Acer rubrum",38.6,528.3
"Acer rubrum",39.4,544.6
"Acer rubrum",21.3,612.5
"Acer rubrum",53.8,40.8
"Acer rubrum",46.5,76.2
"Acer rubrum",56.1,152.3
"Acer rubrum",46.7,217.9
"Acer rubrum",57.4,241.9
"Acer rubrum",51.9,245.5
"Acer rubrum",58.2,252.7
"Acer rubrum",57.9,252.8
"Acer rubrum",56.6,259
"Acer rubrum",57.5,270
"Acer rubrum",41.9,329.6
"Acer rubrum",40.5,328
"Acer rubrum",51.2,323.4
"Acer rubrum",50.9,330.5
"Acer rubrum",49,349.3
"Acer rubrum",56.3,584.4
"Acer rubrum",53,606.4
"Acer rubrum",71.7,200.9
"Acer rubrum",71.7,232
"Acer rubrum",73.5,248.3
"Acer rubrum",64.4,278.2
"Acer rubrum",62.2,262
"Acer rubrum",63.8,264.9
"Acer rubrum",64.2,270.5
"Acer rubrum",72.1,281.2
"Acer rubrum",64.5,322.1
"Acer rubrum",64,323.9
"Acer rubrum",77.7,341.5
"Acer rubrum",72.1,412.6
"Acer rubrum",73.4,434.4
"Acer rubrum",71.4,433.9
"Acer rubrum",67.9,432.2
"Acer rubrum",72.2,501.8
"Acer rubrum",64.1,520.9
"Acer rubrum",76.8,524.4
"Acer rubrum",75.3,600
"Acer rubrum",66.1,609.6
