"Latin","gx","gy"
"Abarema macradenia",218.5,419.4
"Abarema macradenia",239.5,273.61
"Abarema macradenia",222.08,430.54
"Abarema macradenia",223.68,449.88
"Abarema macradenia",289.31,304.46
"Abarema macradenia",284.03,363.99
"Abarema macradenia",413.5,168.9
"Abarema macradenia",526.67,334.88
"Acacia melanoceras",282.7,177.5
"Acacia melanoceras",362.1,70.8
"Acacia melanoceras",450.8,216.8
"Acacia melanoceras",534.8,241.3
"Acacia melanoceras",544.6,326.4
"Acacia melanoceras",616,98.19
"Acacia melanoceras",616.48,98.14
"Acacia melanoceras",617.59,98.51
"Acacia melanoceras",617.67,98.84
"Acacia melanoceras",618.61,99.84
"Acacia melanoceras",619.32,99.69
"Acacia melanoceras",610,104.7
"Acacia melanoceras",606.4,105.6
"Acacia melanoceras",606.1,103.1
"Acacia melanoceras",606.3,102.4
"Acacia melanoceras",612.6,107.6
"Acacia melanoceras",612.2,100.7
"Acacia melanoceras",612,101.4
"Acacia melanoceras",612,102.6
"Acacia melanoceras",614.5,103
"Acacia melanoceras",614.5,101.7
"Acacia melanoceras",610.2,105.4
"Acacia melanoceras",612,106.9
"Acacia melanoceras",612,106.1
"Acacia melanoceras",609.28,105.09
"Acacia melanoceras",607.54,100.83
"Acacia melanoceras",608.12,100.4
"Acacia melanoceras",610.75,104.59
"Acacia melanoceras",614.67,104.61
"Acacia melanoceras",613.82,100.88
"Acacia melanoceras",615.85,105.91
"Acacia melanoceras",615.8,107.39
"Acacia melanoceras",617.26,102.15
"Acacia melanoceras",615.13,103.59
"Acacia melanoceras",615.54,104.43
"Acacia melanoceras",615.84,104.87
"Acacia melanoceras",617.77,103.09
"Acacia melanoceras",617.42,104.11
"Acacia melanoceras",619.86,103.51
"Acacia melanoceras",619.63,103.36
"Acacia melanoceras",618.63,102.03
"Acacia melanoceras",619.65,101.63
"Acacia melanoceras",619.67,101.35
"Acacia melanoceras",622.17,101.69
"Acacia melanoceras",620.28,100.94
"Acacia melanoceras",812.4,292.9
"Acalypha diversifolia",197.8,99.6
"Acalypha diversifolia",197.36,99.91
"Acalypha diversifolia",197.8,88.2
"Acalypha diversifolia",199.78,81.12
"Acalypha diversifolia",197.26,80.14
"Acalypha diversifolia",192.6,100.6
"Acalypha diversifolia",194.3,101.7
"Acalypha diversifolia",199.49,101.14
"Acalypha diversifolia",215.74,99.88
"Acalypha diversifolia",204.7,83.98
"Acalypha diversifolia",213.6,102.6
"Acalypha diversifolia",216,215.2
"Acalypha diversifolia",216.8,213.3
"Acalypha diversifolia",218.44,218.44
"Acalypha diversifolia",237.1,77.7
"Acalypha diversifolia",230.4,79.8
"Acalypha diversifolia",230.87,80.19
"Acalypha diversifolia",229.77,80.12
"Acalypha diversifolia",234.15,123.06
"Acalypha diversifolia",230.2,144.4
"Acalypha diversifolia",232.1,143.4
"Acalypha diversifolia",224.91,143.5
"Acalypha diversifolia",224.6,142.48
"Acalypha diversifolia",226.23,141.78
"Acalypha diversifolia",230.35,147.58
"Acalypha diversifolia",223.9,197.2
"Acalypha diversifolia",224.5,198.3
"Acalypha diversifolia",225.2,198.3
"Acalypha diversifolia",221.4,201.8
"Acalypha diversifolia",224.1,213.4
"Acalypha diversifolia",226.6,255.2
"Acalypha diversifolia",225.84,253.4
"Acalypha diversifolia",227.48,253.96
"Acalypha diversifolia",227.63,253.46
"Acalypha diversifolia",228.64,275.72
"Acalypha diversifolia",234.02,278.54
"Acalypha diversifolia",236.59,269.82
"Acalypha diversifolia",234.8,284.9
"Acalypha diversifolia",229.74,283.83
"Acalypha diversifolia",233.67,285.72
"Acalypha diversifolia",238.9,315.9
"Acalypha diversifolia",233.32,345.2
"Acalypha diversifolia",233.64,345.19
"Acalypha diversifolia",228.3,429.3
"Acalypha diversifolia",240.53,260.46
"Acalypha diversifolia",241.73,269.53
"Acalypha diversifolia",248.3,293.3
"Acalypha diversifolia",240.4,316
"Acalypha diversifolia",243.9,315.4
"Acalypha diversifolia",248.98,310.26
"Acalypha diversifolia",248.02,308.39
"Acalypha diversifolia",243.8,320.1
"Acalypha diversifolia",254.94,327.29
"Acalypha diversifolia",259.2,360.6
"Acalypha diversifolia",267.9,84.6
"Acalypha diversifolia",264.6,80.8
"Acalypha diversifolia",265.7,83.2
"Acalypha diversifolia",265.7,83.5
"Acalypha diversifolia",277.53,235.8
"Acalypha diversifolia",274,242.7
"Acalypha diversifolia",279.6,244.7
"Acalypha diversifolia",268.8,241.16
"Acalypha diversifolia",264.38,273.09
"Acalypha diversifolia",271.9,344.4
"Acalypha diversifolia",276.49,445.53
"Acalypha diversifolia",278.52,449.13
"Acalypha diversifolia",288.66,97.53
"Acalypha diversifolia",294.92,98.22
"Acalypha diversifolia",290.62,261.73
"Acalypha diversifolia",288.79,289.85
"Acalypha diversifolia",281.3,314.3
"Acalypha diversifolia",294.75,313.04
"Acalypha diversifolia",308.27,203.48
"Acalypha diversifolia",306.85,203.6
"Acalypha diversifolia",312.47,218.63
"Acalypha diversifolia",316.1,217
"Acalypha diversifolia",319.91,216.9
"Acalypha diversifolia",303.23,225.88
"Acalypha diversifolia",311.79,220.76
"Acalypha diversifolia",310.1,399.9
"Acalypha diversifolia",319,435.5
"Acalypha diversifolia",304.4,437.5
"Acalypha diversifolia",314.8,436.7
"Acalypha diversifolia",302.51,438.52
"Acalypha diversifolia",318.95,435.4
"Acalypha diversifolia",315.5,445.8
"Acalypha diversifolia",316.99,440.06
"Acalypha diversifolia",328.9,69.3
"Acalypha diversifolia",335.53,235.48
"Acalypha diversifolia",331.04,398.08
"Acalypha diversifolia",337.15,417.15
"Acalypha diversifolia",351.84,254.82
"Acalypha diversifolia",357.07,241.11
"Acalypha diversifolia",347.5,432.2
"Acalypha diversifolia",351.1,448.8
"Acalypha diversifolia",360.4,253.9
"Acalypha diversifolia",363.41,254.17
"Acalypha diversifolia",363.92,254.82
"Acalypha diversifolia",361.62,250.85
"Acalypha diversifolia",379.55,254.05
"Acalypha diversifolia",367.4,264.7
"Acalypha diversifolia",363.9,322.1
"Acalypha diversifolia",366.46,324.44
"Acalypha diversifolia",369.5,374.7
"Acalypha diversifolia",365.14,399.89
"Acalypha diversifolia",366.28,399.64
"Acalypha diversifolia",378.6,401.5
"Acalypha diversifolia",361.49,400.95
"Acalypha diversifolia",381.58,255.15
"Acalypha diversifolia",393.06,252.31
"Acalypha diversifolia",390.31,257.94
"Acalypha diversifolia",398.22,251.25
"Acalypha diversifolia",397.3,248.35
"Acalypha diversifolia",394.4,263
"Acalypha diversifolia",395.1,346
"Acalypha diversifolia",395.6,344
"Acalypha diversifolia",398.29,351.42
"Acalypha diversifolia",396.71,343.65
"Acalypha diversifolia",399.36,341.77
"Acalypha diversifolia",391.84,360.11
"Acalypha diversifolia",399.8,384.9
"Acalypha diversifolia",401.1,79.2
"Acalypha diversifolia",407.2,159.5
"Acalypha diversifolia",408.9,161.1
"Acalypha diversifolia",410.2,162.8
"Acalypha diversifolia",410.5,160.3
"Acalypha diversifolia",414.5,201.5
"Acalypha diversifolia",401.05,273.71
"Acalypha diversifolia",403.09,299.89
"Acalypha diversifolia",408.86,290.46
"Acalypha diversifolia",416.1,316.2
"Acalypha diversifolia",403.02,313.21
"Acalypha diversifolia",406.78,315.17
"Acalypha diversifolia",414.36,317.71
"Acalypha diversifolia",403.8,339.7
"Acalypha diversifolia",409.6,323.7
"Acalypha diversifolia",416.4,322.7
"Acalypha diversifolia",404.3,341.4
"Acalypha diversifolia",403.7,340.3
"Acalypha diversifolia",406.6,343.2
"Acalypha diversifolia",408.1,342.6
"Acalypha diversifolia",407.8,343.2
"Acalypha diversifolia",410.5,341.6
"Acalypha diversifolia",403.08,346.25
"Acalypha diversifolia",401.72,348.8
"Acalypha diversifolia",405.41,340.76
"Acalypha diversifolia",409.25,343.81
"Acalypha diversifolia",401.8,374.2
"Acalypha diversifolia",419.7,375.6
"Acalypha diversifolia",414.52,372.36
"Acalypha diversifolia",416.74,377.54
"Acalypha diversifolia",404.44,362.17
"Acalypha diversifolia",407.1,393.7
"Acalypha diversifolia",402.07,381.83
"Acalypha diversifolia",405.33,399.15
"Acalypha diversifolia",410.36,400.6
"Acalypha diversifolia",428.5,78.9
"Acalypha diversifolia",438.7,91.1
"Acalypha diversifolia",425.5,83
"Acalypha diversifolia",431.4,87.3
"Acalypha diversifolia",424.63,81.23
"Acalypha diversifolia",428.87,84.57
"Acalypha diversifolia",436.06,85.19
"Acalypha diversifolia",435.92,86.28
"Acalypha diversifolia",438.63,90.72
"Acalypha diversifolia",438.6,176.6
"Acalypha diversifolia",433.88,279.55
"Acalypha diversifolia",427.5,335.7
"Acalypha diversifolia",427.4,335.3
"Acalypha diversifolia",427.75,333.11
"Acalypha diversifolia",432.73,337.34
"Acalypha diversifolia",435.2,341.1
"Acalypha diversifolia",435.3,356
"Acalypha diversifolia",436,356
"Acalypha diversifolia",435.6,359.7
"Acalypha diversifolia",436.4,340.3
"Acalypha diversifolia",427.7,418.1
"Acalypha diversifolia",454.8,86.3
"Acalypha diversifolia",450.6,85.3
"Acalypha diversifolia",445,279.6
"Acalypha diversifolia",442.8,276.1
"Acalypha diversifolia",446.91,276.55
"Acalypha diversifolia",458.46,276.07
"Acalypha diversifolia",442.7,290.1
"Acalypha diversifolia",443.1,290.5
"Acalypha diversifolia",442.8,292.3
"Acalypha diversifolia",443.6,291
"Acalypha diversifolia",440.21,287.64
"Acalypha diversifolia",443.97,289.81
"Acalypha diversifolia",443.17,290.13
"Acalypha diversifolia",451.53,284.63
"Acalypha diversifolia",453.46,285.19
"Acalypha diversifolia",444.6,407.9
"Acalypha diversifolia",458.9,401
"Acalypha diversifolia",440.8,403.6
"Acalypha diversifolia",453.85,407.13
"Acalypha diversifolia",443.4,405.5
"Acalypha diversifolia",452.3,404.2
"Acalypha diversifolia",453.3,405.4
"Acalypha diversifolia",456.2,406.4
"Acalypha diversifolia",454.17,407.98
"Acalypha diversifolia",453.81,407.61
"Acalypha diversifolia",455.11,402.97
"Acalypha diversifolia",470.6,113.7
"Acalypha diversifolia",474.3,209.9
"Acalypha diversifolia",473.8,211.5
"Acalypha diversifolia",474.8,211.3
"Acalypha diversifolia",474.8,211
"Acalypha diversifolia",470.9,218.4
"Acalypha diversifolia",476.3,210.7
"Acalypha diversifolia",475.4,213.3
"Acalypha diversifolia",470.4,210.08
"Acalypha diversifolia",470.92,210.64
"Acalypha diversifolia",471.34,210.25
"Acalypha diversifolia",472.14,216.08
"Acalypha diversifolia",470.12,217.5
"Acalypha diversifolia",472.18,218.41
"Acalypha diversifolia",477.79,214.71
"Acalypha diversifolia",475.76,215.29
"Acalypha diversifolia",478.7,232.9
"Acalypha diversifolia",473.8,236.1
"Acalypha diversifolia",478.8,234.7
"Acalypha diversifolia",475.73,236.89
"Acalypha diversifolia",475.16,238.34
"Acalypha diversifolia",479.35,237.61
"Acalypha diversifolia",479.82,236.46
"Acalypha diversifolia",477.62,237.48
"Acalypha diversifolia",472.4,240.3
"Acalypha diversifolia",470.36,242.3
"Acalypha diversifolia",475.78,242.09
"Acalypha diversifolia",470.14,244.77
"Acalypha diversifolia",460,277.5
"Acalypha diversifolia",468.9,268.9
"Acalypha diversifolia",468.9,262.2
"Acalypha diversifolia",468.1,261.6
"Acalypha diversifolia",473,263.3
"Acalypha diversifolia",461.7,292.4
"Acalypha diversifolia",471.2,416.2
"Acalypha diversifolia",479.7,423.2
"Acalypha diversifolia",466,446.8
"Acalypha diversifolia",482,87
"Acalypha diversifolia",482.11,95.47
"Acalypha diversifolia",488.3,148.5
"Acalypha diversifolia",491.2,164.7
"Acalypha diversifolia",494.8,164.8
"Acalypha diversifolia",485.9,170.1
"Acalypha diversifolia",499.2,194.6
"Acalypha diversifolia",481.15,237.36
"Acalypha diversifolia",480.8,238.12
"Acalypha diversifolia",480.69,237.84
"Acalypha diversifolia",481.3,424.2
"Acalypha diversifolia",492.7,427.4
"Acalypha diversifolia",501.7,159.25
"Acalypha diversifolia",514,222.4
"Acalypha diversifolia",519.8,223.2
"Acalypha diversifolia",503.66,234.04
"Acalypha diversifolia",534.42,195.21
"Acalypha diversifolia",533.3,218.7
"Acalypha diversifolia",520.7,214.4
"Acalypha diversifolia",521.3,218.6
"Acalypha diversifolia",538.1,215.54
"Acalypha diversifolia",538.33,215.82
"Acalypha diversifolia",537.95,215.03
"Acalypha diversifolia",520.7,220.2
"Acalypha diversifolia",520.8,221.7
"Acalypha diversifolia",521.4,224.2
"Acalypha diversifolia",523.7,272.9
