"site_code","count_id","line","species_id","liana","count","record_id","site_id","site_name","country","state_province","continent","lat","lon","min_elev","max_elev","precip"
"ALLPAHUA",104792,1,178,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104793,7,228,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104794,3,268,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104795,2,302,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104796,4,303,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104797,1,319,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104798,2,322,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104799,3,323,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104800,6,332,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104801,5,415,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104802,7,416,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104803,4,454,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104804,7,455,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104805,2,553,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104806,9,553,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104807,7,630,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104808,7,859,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104809,5,932,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104810,2,941,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104811,6,941,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104812,7,941,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104813,8,941,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104814,3,1024,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104815,1,1045,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104816,4,1045,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104817,9,1046,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104818,8,1059,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104819,3,1063,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104820,6,1063,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104821,7,1070,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104822,9,1070,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104823,1,1106,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104824,4,1106,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104825,6,1106,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104826,8,1106,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104827,9,1106,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104828,1,1148,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104829,2,1148,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104830,4,1148,"",3,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104831,5,1148,"",4,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104832,6,1148,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104833,8,1148,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104834,9,1148,"",3,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104835,3,1160,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104836,2,1206,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104837,3,1217,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104838,6,1221,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104839,7,1276,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104840,3,1389,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104841,4,1389,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104842,6,1435,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104843,2,1437,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104844,8,1443,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104845,6,1499,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104846,7,1499,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104847,4,1579,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104848,5,1579,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104849,1,1582,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104850,1,1583,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
