"count_id","line","species_id","site_code","liana","count"
82427,1,18,"NDAKANNI","",5
82428,2,18,"NDAKANNI","",1
82429,4,18,"NDAKANNI","",1
82430,5,18,"NDAKANNI","",1
82431,6,18,"NDAKANNI","",2
82432,8,18,"NDAKANNI","",2
82433,9,18,"NDAKANNI","",1
82434,10,18,"NDAKANNI","",1
82435,8,167,"NDAKANNI","",1
82436,7,168,"NDAKANNI","",1
82437,4,209,"NDAKANNI","",1
82438,7,209,"NDAKANNI","",1
82439,5,212,"NDAKANNI","L",1
82440,1,316,"NDAKANNI","",1
82441,2,316,"NDAKANNI","",1
82442,1,319,"NDAKANNI","",1
82443,2,322,"NDAKANNI","",1
82444,7,323,"NDAKANNI","L",1
82445,1,374,"NDAKANNI","",1
82446,2,374,"NDAKANNI","",1
82447,3,374,"NDAKANNI","",2
82448,4,374,"NDAKANNI","",3
82449,6,374,"NDAKANNI","",1
82450,7,374,"NDAKANNI","",2
82451,8,374,"NDAKANNI","",1
82452,4,585,"NDAKANNI","L",3
82453,2,598,"NDAKANNI","L",1
82454,2,599,"NDAKANNI","L",1
82455,3,600,"NDAKANNI","L",1
82456,5,600,"NDAKANNI","L",1
82457,6,600,"NDAKANNI","L",1
82458,4,601,"NDAKANNI","L",1
82459,6,601,"NDAKANNI","L",3
82460,7,601,"NDAKANNI","L",4
82461,9,602,"NDAKANNI","L",1
82462,1,647,"NDAKANNI","",1
82463,2,647,"NDAKANNI","",1
82464,3,647,"NDAKANNI","",3
82465,4,647,"NDAKANNI","",1
82466,6,647,"NDAKANNI","",8
82467,7,647,"NDAKANNI","",2
82468,8,647,"NDAKANNI","",3
82469,9,647,"NDAKANNI","",2
82470,10,647,"NDAKANNI","",1
82471,9,690,"NDAKANNI","",1
82472,10,690,"NDAKANNI","",1
82473,10,690,"NDAKANNI","",1
82474,1,708,"NDAKANNI","",4
82475,2,708,"NDAKANNI","",5
82476,3,708,"NDAKANNI","",5
82477,4,708,"NDAKANNI","",7
82478,6,708,"NDAKANNI","",4
82479,7,708,"NDAKANNI","",4
82480,8,708,"NDAKANNI","",5
82481,5,1832,"NDAKANNI","",1
82482,4,1964,"NDAKANNI","",1
82483,2,2245,"NDAKANNI","L",1
82484,4,2246,"NDAKANNI","L",3
82485,7,2247,"NDAKANNI","L",1
82486,7,2248,"NDAKANNI","L",1
82487,4,2690,"NDAKANNI","L",1
82488,8,2690,"NDAKANNI","L",1
82489,5,2691,"NDAKANNI","L",1
82490,10,2692,"NDAKANNI","L",7
82491,7,2693,"NDAKANNI","L",1
82492,5,2729,"NDAKANNI","",2
82493,6,2729,"NDAKANNI","",1
82494,7,2729,"NDAKANNI","",1
82495,2,2731,"NDAKANNI","L",1
82496,7,2760,"NDAKANNI","L",1
82497,2,2813,"NDAKANNI","L",1
82498,4,2814,"NDAKANNI","L",1
82499,5,3090,"NDAKANNI","L",2
82500,1,3149,"NDAKANNI","",6
82501,2,3149,"NDAKANNI","",2
82502,3,3149,"NDAKANNI","",3
82503,4,3149,"NDAKANNI","",2
82504,6,3149,"NDAKANNI","",2
82505,7,3149,"NDAKANNI","",5
82506,8,3149,"NDAKANNI","",1
82507,10,3152,"NDAKANNI","",1
82508,3,3157,"NDAKANNI","",1
82509,6,3157,"NDAKANNI","",3
82510,4,3176,"NDAKANNI","",5
82511,8,3176,"NDAKANNI","",1
82512,8,3208,"NDAKANNI","",1
82513,3,3409,"NDAKANNI","",1
82514,4,3409,"NDAKANNI","",1
82515,5,3551,"NDAKANNI","",1
82516,1,3565,"NDAKANNI","",2
82517,2,3565,"NDAKANNI","",1
82518,5,3565,"NDAKANNI","",1
82519,6,3573,"NDAKANNI","",1
82520,2,3578,"NDAKANNI","",1
82521,3,3579,"NDAKANNI","",1
82522,6,3580,"NDAKANNI","",1
82523,6,3581,"NDAKANNI","",1
82524,8,3581,"NDAKANNI","",1
82525,7,3582,"NDAKANNI","",1
82526,9,3623,"NDAKANNI","",1
82527,10,3623,"NDAKANNI","",1
82528,1,3701,"NDAKANNI","L",1
82529,2,3701,"NDAKANNI","L",1
82530,6,3701,"NDAKANNI","L",4
82531,5,3850,"NDAKANNI","L",1
82532,9,3850,"NDAKANNI","L",3
82533,10,3850,"NDAKANNI","L",1
82534,4,3866,"NDAKANNI","L",1
82535,5,3866,"NDAKANNI","L",1
82536,10,3866,"NDAKANNI","",1
82537,1,3869,"NDAKANNI","",1
82538,1,3893,"NDAKANNI","",4
82539,3,3893,"NDAKANNI","",6
82540,5,3893,"NDAKANNI","",1
82541,6,3893,"NDAKANNI","",1
82542,7,3893,"NDAKANNI","",1
82543,8,3893,"NDAKANNI","",4
82544,7,3895,"NDAKANNI","",1
82545,8,3905,"NDAKANNI","",2
82546,10,3905,"NDAKANNI","",1
82547,2,4056,"NDAKANNI","L",1
82548,3,4056,"NDAKANNI","L",1
82549,4,4056,"NDAKANNI","L",1
82550,9,4056,"NDAKANNI","L",3
82551,1,4073,"NDAKANNI","",1
82552,4,4073,"NDAKANNI","",1
82553,7,4073,"NDAKANNI","",1
82554,2,4144,"NDAKANNI","",1
82555,3,4144,"NDAKANNI","",2
82556,4,4144,"NDAKANNI","",4
82557,5,4395,"NDAKANNI","L",2
82558,6,4395,"NDAKANNI","L",1
82559,7,4395,"NDAKANNI","L",1
82560,2,4398,"NDAKANNI","L",1
82561,3,4462,"NDAKANNI","",1
82562,4,4462,"NDAKANNI","",1
82563,5,4531,"NDAKANNI","",1
82564,9,4734,"NDAKANNI","",1
82565,4,4932,"NDAKANNI","",1
82566,6,4932,"NDAKANNI","",1
82567,6,4994,"NDAKANNI","L",1
82568,3,5007,"NDAKANNI","",1
82569,10,5046,"NDAKANNI","",1
82570,10,5051,"NDAKANNI","",1
82571,10,5052,"NDAKANNI","L",1
82572,7,5149,"NDAKANNI","",1
82573,7,5150,"NDAKANNI","",1
82574,1,5539,"NDAKANNI","",1
82575,5,5539,"NDAKANNI","",1
82576,5,5541,"NDAKANNI","L",1
82577,7,5757,"NDAKANNI","L",6
82578,1,5757,"NDAKANNI","L",7
82579,2,5757,"NDAKANNI","L",2
82580,3,5757,"NDAKANNI","L",1
82581,4,5757,"NDAKANNI","L",1
82582,5,5757,"NDAKANNI","L",1
82583,5,6033,"NDAKANNI","",1
82584,6,6033,"NDAKANNI","",1
82585,7,6033,"NDAKANNI","",1
82586,9,6033,"NDAKANNI","",1
82587,3,6070,"NDAKANNI","",1
82588,5,6093,"NDAKANNI","",1
82589,5,6093,"NDAKANNI","",1
82590,10,6122,"NDAKANNI","",2
82591,10,6128,"NDAKANNI","",1
82592,4,6166,"NDAKANNI","",1
82593,10,6168,"NDAKANNI","",1
82594,6,6176,"NDAKANNI","",1
82595,1,6183,"NDAKANNI","",1
82596,6,6215,"NDAKANNI","",1
82597,3,6269,"NDAKANNI","L",1
82598,7,6269,"NDAKANNI","L",1
82599,8,6269,"NDAKANNI","L",1
82600,4,6270,"NDAKANNI","L",1
82601,6,6270,"NDAKANNI","L",1
82602,9,6271,"NDAKANNI","L",2
82603,8,6423,"NDAKANNI","",1
82604,5,6477,"NDAKANNI","",1
82605,7,6558,"NDAKANNI","",1
82606,5,7330,"NDAKANNI","",1
82607,9,7333,"NDAKANNI","",1
82608,2,7343,"NDAKANNI","",1
82609,6,7347,"NDAKANNI","",1
82610,7,7347,"NDAKANNI","",1
82611,4,7349,"NDAKANNI","",1
82612,5,7349,"NDAKANNI","",1
82613,6,7349,"NDAKANNI","",1
82614,8,7350,"NDAKANNI","",1
82615,8,7414,"NDAKANNI","",1
82616,5,7422,"NDAKANNI","",2
82617,7,7422,"NDAKANNI","",2
82618,8,7422,"NDAKANNI","",2
82619,9,7422,"NDAKANNI","",1
82620,10,7422,"NDAKANNI","",1
82621,10,7422,"NDAKANNI","",1
82622,10,7602,"NDAKANNI","",1
82623,1,7807,"NDAKANNI","",1
82624,1,7807,"NDAKANNI","",1
82625,6,7892,"NDAKANNI","",1
82626,2,7990,"NDAKANNI","",1
82627,9,8130,"NDAKANNI","",1
82628,10,8131,"NDAKANNI","",1
82629,5,8196,"NDAKANNI","",1
82630,6,8363,"NDAKANNI","",1
82631,5,8574,"NDAKANNI","",1
82632,8,8575,"NDAKANNI","",1
82633,10,8871,"NDAKANNI","",1
82634,8,8919,"NDAKANNI","",1
82635,7,9041,"NDAKANNI","",1
82636,7,9187,"NDAKANNI","",1
82637,2,9209,"NDAKANNI","",1
82638,7,9209,"NDAKANNI","",1
82639,1,9234,"NDAKANNI","",1
82640,10,9234,"NDAKANNI","",1
82641,5,9384,"NDAKANNI","",1
82642,2,9400,"NDAKANNI","",1
82643,6,9400,"NDAKANNI","",1
